SeasonEp,Compound
S01E01,0.028245714
S01E02,0.018373554
S01E03,0.007436905
S01E04,0.052766176
S01E05,-0.01325107
S01E06,0.004285036
S01E07,0.001448012
S01E08,0.013776066
S01E09,-0.010974699
S01E10,-0.004266129
S02E01,-0.024909402
S02E02,0.011428198
S02E03,0.006471134
S02E04,0.046129139
S02E05,0.033783714
S02E06,0.002295706
S02E07,-0.019749852
S02E08,0.010893029
S02E09,0.013909901
S02E10,0.060293226
S03E01,0.044742029
S03E02,0.005022938
S03E03,0.019771975
S03E04,0.021514243
S03E05,-0.017672237
S03E06,0.019889557
S03E07,0.07965858
S03E08,-0.01370212
S03E09,0.03311165
S03E10,-0.018399405
S04E01,0.040398077
S04E02,0.061668502
S04E03,0.009326961
S04E04,-0.04563829
S04E05,0.04112953
S04E06,0.006320068
S04E07,0.002946991
S04E08,-0.054013456
S04E09,-0.040690909
S04E10,-0.026533588
S05E01,0.04190742
S05E02,0.051124252
S05E03,0.055709091
S05E04,0.003699107
S05E05,0.006598444
S05E06,0.030199349
S05E07,0.049212733
S05E08,-0.027279643
S05E09,0.087908257
S05E10,-0.080696853
S06E01,0.00135
S06E02,-0.063057971
S06E03,0.074302767
S06E04,0.00542415
S06E05,0.108470485
S06E06,0.028678205
S06E07,-0.054753651
S06E08,0.01119078
S06E09,-0.028281159
S06E10,-0.010961806
S07E01,-0.024091789
S07E02,0.004823851
S07E03,0.012057642
S07E04,-0.030174262
S07E05,0.005472403
S07E06,-0.037445152
S07E07,-0.100937762
